date,par
2014-12-09T14:12:00+0000,0
2014-12-09T14:15:00+0000,0
2014-12-09T14:18:00+0000,0
2014-12-09T14:21:00+0000,0
2014-12-09T14:24:00+0000,0
2014-12-09T14:27:01+0000,0
2014-12-09T14:30:01+0000,0
2014-12-09T14:33:01+0000,0
2014-12-09T14:36:01+0000,0
2014-12-09T14:39:01+0000,0
2014-12-09T14:42:02+0000,0
2014-12-09T14:45:02+0000,0
2014-12-09T14:48:02+0000,0
2014-12-09T14:51:02+0000,0
2014-12-09T14:54:03+0000,0
2014-12-09T14:57:03+0000,0
2014-12-09T15:00:03+0000,0
2014-12-09T15:03:03+0000,0
2014-12-09T15:06:03+0000,0
2014-12-09T15:09:04+0000,0
2014-12-09T15:12:04+0000,0
2014-12-09T15:15:04+0000,0
2014-12-09T15:18:04+0000,0
2014-12-09T15:21:04+0000,0
2014-12-09T15:24:05+0000,0
2014-12-09T15:27:05+0000,0
2014-12-09T15:30:05+0000,0
2014-12-09T15:33:05+0000,0
2014-12-09T15:36:05+0000,0
2014-12-09T15:39:06+0000,0
2014-12-09T15:42:06+0000,0
2014-12-09T15:45:10+0000,0
2014-12-09T15:48:10+0000,0
2014-12-09T15:51:11+0000,0
2014-12-09T15:54:11+0000,0
2014-12-09T15:57:11+0000,0
2014-12-09T16:00:11+0000,0
2014-12-09T16:03:12+0000,0
2014-12-09T16:06:12+0000,0
2014-12-09T16:09:12+0000,0
2014-12-09T16:12:12+0000,0
2014-12-09T16:15:12+0000,0
2014-12-09T16:18:13+0000,0
2014-12-09T16:21:13+0000,0
2014-12-09T16:24:13+0000,0
2014-12-09T16:27:13+0000,0
2014-12-09T16:30:13+0000,0
2014-12-09T16:33:14+0000,0
2014-12-09T16:36:14+0000,0
2014-12-09T16:39:14+0000,0
2014-12-09T16:42:14+0000,0
2014-12-09T16:45:14+0000,1.42
2014-12-09T16:48:15+0000,0
2014-12-09T16:51:15+0000,7.79
2014-12-09T16:54:15+0000,14.92
2014-12-09T16:57:15+0000,0
2014-12-09T17:00:15+0000,31.99
2014-12-09T17:03:16+0000,40.14
2014-12-09T17:06:16+0000,50.83
2014-12-09T17:09:16+0000,63.57
2014-12-09T17:12:16+0000,81.4
2014-12-09T17:15:16+0000,229.38
2014-12-09T17:18:17+0000,346.8
2014-12-09T17:21:17+0000,243.65
2014-12-09T17:24:17+0000,552.36
2014-12-09T17:27:17+0000,634.62
2014-12-09T17:30:17+0000,705.43
2014-12-09T17:33:18+0000,766.56
2014-12-09T17:36:18+0000,827.95
2014-12-09T17:39:18+0000,847.81
2014-12-09T17:42:18+0000,949.95
2014-12-09T17:45:18+0000,995.28
2014-12-09T17:48:19+0000,1060.22
2014-12-09T17:51:19+0000,1115.49
2014-12-09T17:54:19+0000,1124.91
2014-12-09T17:57:19+0000,1184.01
2014-12-09T18:00:19+0000,1221.18
2014-12-09T18:03:20+0000,1275.68
2014-12-09T18:06:20+0000,1294.26
2014-12-09T18:09:20+0000,1323.55
2014-12-09T18:12:20+0000,1370.39
2014-12-09T18:15:20+0000,1394.32
2014-12-09T18:18:21+0000,1432.77
2014-12-09T18:21:21+0000,1467.91
2014-12-09T18:24:21+0000,1469.66
2014-12-09T18:27:21+0000,1501.22
2014-12-09T18:30:21+0000,1517.78
2014-12-09T18:33:22+0000,1522.36
2014-12-09T18:36:22+0000,1579.14
2014-12-09T18:39:22+0000,1584.74
2014-12-09T18:42:22+0000,1611.73
2014-12-09T18:45:22+0000,1622.93
2014-12-09T18:48:23+0000,1627.51
2014-12-09T18:51:23+0000,1657.31
2014-12-09T18:54:23+0000,1649.91
2014-12-09T18:57:23+0000,1672.33
2014-12-09T19:00:24+0000,1701.11
2014-12-09T19:03:24+0000,1723.77
2014-12-09T19:06:24+0000,1725.56
2014-12-09T19:09:24+0000,1744.4
2014-12-09T19:12:24+0000,1757.38
2014-12-09T19:15:25+0000,1763.49
2014-12-09T19:18:25+0000,1793.8
2014-12-09T19:21:25+0000,1780.29
2014-12-09T19:24:25+0000,1805
2014-12-09T19:27:25+0000,1817.74
2014-12-09T19:30:26+0000,1820.53
2014-12-09T19:33:26+0000,1821.79
2014-12-09T19:36:26+0000,1835.04
2014-12-09T19:39:26+0000,1831.98
2014-12-09T19:42:27+0000,1830.2
