FILE	computerUTC	DMY	HMS	LAT	LON	CONDUCTIVITY	SALINITY	OCEAN TEMP	BULK RED	STREAM PRESSURE	FILTER PRESSURE	MACHINE TEMP	Xaccel	Yaccel	Zaccel	MILLISECOND TIMER	LASER POWER	EVENT RATE	FLOW METER	position	CHL	LIGHT TRANS	ACQ ERROR	D1/D2	PAR
sds_2013_241_196	13241112541	290813	112541	2959.98836	14959.99089				46.0483	12.00	NaN	2.97	0.0295	0.0377	0.0361	446347189	319.0	11288	2.88				2.91	0.4657	
sds_2013_241_197	13241112910	290813	112910	2959.98598	14959.99066				45.8223	12.00	NaN	2.97	0.0269	0.0426	0.0314	446556018	319.0	11223	2.88				4.37	0.4722	
sds_2013_241_198	13241113240	290813	113240	3000.02296	14959.99026				45.9960	12.00	NaN	2.97	0.0309	0.0447	0.0353	446766282	319.0	11174	2.88				5.02	0.4706	
sds_2013_241_199	13241113620	290813	113620	3000.10487	14959.99241				45.2837	12.00	NaN	2.97	0.0262	0.0696	0.0374	446986262	319.0	11145	2.88				5.76	0.4658	
sds_2013_241_200	13241113958	290813	113958	3000.10896	14959.99572				45.0498	12.00	NaN	2.97	0.0254	0.0277	0.0350	447204239	319.0	11205	2.88				5.19	0.4773	
sds_2013_241_201	13241114331	290813	114331	3000.03126	14959.98356				45.4172	12.00	NaN	2.97	0.0265	0.0463	0.0374	447417669	319.0	11195	2.88				2.32	0.4667	
sds_2013_241_202	13241114707	290813	114707	3000.00045	14959.97767				45.1362	12.00	NaN	2.97	0.0244	0.0371	0.0327	447633372	319.0	11301	2.88				3.41	0.4677	
sds_2013_241_203	13241115048	290813	115048	2959.99905	14959.97396				44.4752	12.00	NaN	2.97	0.0280	0.0361	0.0337	447854808	319.0	11263	2.88				4.87	0.4562	
sds_2013_241_204	13241115411	290813	115411	2959.99767	14959.97097				44.2027	12.00	NaN	2.97	0.0238	0.0434	0.0374	448057056	319.0	11270	2.88				4.04	0.4708	
sds_2013_241_205	13241115739	290813	115739	2959.99857	14959.97350				46.2323	12.00	NaN	2.97	0.0267	0.0397	0.0385	448265628	319.0	11246	2.88				3.60	0.4515	
sds_2013_241_206	13241120121	290813	120121	2959.99756	14959.97921				45.5072	12.00	NaN	2.97	0.0286	0.0397	0.0319	448486991	319.0	11252	2.88				4.38	0.4613	
sds_2013_241_207	13241120457	290813	120457	2959.99735	14959.98853				46.3011	12.00	NaN	2.97	0.0277	0.0698	0.0298	448703222	319.0	11267	2.88				5.43	0.4215	
sds_2013_241_208	13241120817	290813	120817	2959.99651	14959.99469				45.4686	12.00	NaN	2.97	0.0236	0.0482	0.0319	448903401	319.0	11358	2.88				4.12	0.4828	
sds_2013_241_209	13241121140	290813	121140	2959.99675	14959.99959				45.2982	12.00	NaN	2.97	0.0303	0.0254	0.0372	449106081	319.0	11232	2.88				3.60	0.4587	
sds_2013_241_210	13241121519	290813	121519	2959.99673	15000.00453				44.6238	12.00	NaN	2.97	0.0267	0.0286	0.0337	449325676	319.0	11298	2.88				3.99	0.4615	
sds_2013_241_211	13241121845	290813	121845	2959.99589	15000.00894				44.3702	12.00	NaN	2.97	0.0256	0.0296	0.0348	449531799	319.0	11295	2.88				5.63	0.4467	
sds_2013_241_212	13241122205	290813	122205	2959.99670	15000.01083				45.1528	12.00	NaN	2.97	0.0209	0.0322	0.0346	449731545	319.0	11335	2.88				4.91	0.4636	
sds_2013_241_213	13241122525	290813	122525	2959.99602	15000.01477				45.4159	12.00	NaN	2.97	0.0214	0.0248	0.0346	449931667	319.0	11321	2.88				5.78	0.4707	
sds_2013_241_214	13241122852	290813	122852	2959.99474	15000.02011				44.6107	12.00	NaN	2.97	0.0262	0.0312	0.0299	450137953	319.0	11291	2.88				4.44	0.4579	
sds_2013_241_215	13241123221	290813	123221	2959.99573	15000.02488				45.5235	12.00	NaN	2.97	0.0288	0.0241	0.0311	450347287	319.0	11205	2.88				5.19	0.4714	
sds_2013_241_216	13241123547	290813	123547	2959.99549	15000.02422				44.3324	12.00	NaN	2.97	0.0222	0.0306	0.0366	450553281	319.0	11342	2.88				5.12	0.4625	
sds_2013_241_217	13241123910	290813	123910	2959.99553	15000.01934				45.5436	12.00	NaN	2.97	0.0252	0.0405	0.0311	450756198	319.0	11326	2.88				3.41	0.4651	
sds_2013_241_218	13241124231	290813	124231	2959.99436	15000.01245				45.2571	12.00	NaN	2.97	0.0209	0.0397	0.0329	450957769	319.0	11280	2.88				1.11	0.4518	
sds_2013_241_219	13241124600	290813	124600	2959.99525	15000.00696				45.7068	12.00	NaN	2.97	0.0264	0.0329	0.0296	451166420	319.0	11289	2.88				4.86	0.4622	
sds_2013_241_220	13241124931	290813	124931	2959.99582	15000.00065				45.5283	12.00	NaN	2.97	0.0257	0.0667	0.0330	451377057	319.0	11228	2.88				4.90	0.4604	
sds_2013_241_221	13241125249	290813	125249	2959.99387	14959.99558				44.2703	12.00	NaN	2.97	0.0256	0.0303	0.0388	451575207	319.0	11156	2.88				1.56	0.4563	
sds_2013_241_222	13241125620	290813	125620	2959.99480	14959.99422				45.0193	12.00	NaN	2.97	0.0231	0.0335	0.0319	451786479	319.0	11197	2.88				6.26	0.4543	
sds_2013_241_223	13241125946	290813	125946	2959.99463	14959.99214				45.5188	12.00	NaN	2.97	0.0257	0.0623	0.0401	451992058	319.0	11226	2.88				4.86	0.4559	
sds_2013_241_224	13241130310	290813	130310	2959.99544	14959.98668				44.5746	12.00	NaN	2.97	0.0251	0.0575	0.0322	452196493	319.0	11132	2.88				3.07	0.4635	
sds_2013_241_225	13241130642	290813	130642	2959.99557	14959.98412				44.9880	12.00	NaN	2.97	0.0262	0.0534	0.0345	452408741	319.0	11257	2.88				2.77	0.4614	
sds_2013_241_226	13241131015	290813	131015	2959.99488	14959.98350				44.8271	12.00	NaN	2.97	0.0235	0.0236	0.0329	452621310	319.0	11274	2.88				6.02	0.4504	
sds_2013_241_227	13241131341	290813	131341	2959.99505	14959.98206				45.4345	12.00	NaN	2.97	0.0254	0.0542	0.0335	452827294	319.0	11217	2.88				2.57	0.4619	
sds_2013_241_228	13241131703	290813	131703	2959.99440	14959.98234				45.8364	12.00	NaN	2.97	0.0215	0.0264	0.0319	453029492	319.0	11186	2.88				3.91	0.4255	
sds_2013_241_229	13241132023	290813	132023	2959.99492	14959.98377				44.9419	12.00	NaN	2.97	0.0272	0.0185	0.0285	453229789	319.0	11240	2.88				5.70	0.4421	
sds_2013_241_230	13241132345	290813	132345	2959.99395	14959.98565				44.4624	12.00	NaN	2.97	0.0240	0.0427	0.0369	453431828	319.0	11198	2.88				4.36	0.4208	
sds_2013_241_231	13241132718	290813	132718	2959.99400	14959.98936				44.5752	12.00	NaN	2.97	0.0312	0.0547	0.0403	453644172	319.0	11271	2.88				4.39	0.4282	
